법정동코드,법정동명,폐지여부
2723013000,대구광역시 북구 사수동,존재
2723013100,대구광역시 북구 연경동,존재
2726000000,대구광역시 수성구,존재
2726010100,대구광역시 수성구 범어동,존재
2726010200,대구광역시 수성구 만촌동,존재
2726010300,대구광역시 수성구 수성동1가,존재
2726010400,대구광역시 수성구 수성동2가,존재
2726010500,대구광역시 수성구 수성동3가,존재
2726010600,대구광역시 수성구 수성동4가,존재
2726010700,대구광역시 수성구 황금동,존재
2726010800,대구광역시 수성구 중동,존재
2726010900,대구광역시 수성구 상동,존재
2726011000,대구광역시 수성구 파동,존재
2726011100,대구광역시 수성구 두산동,존재
2726011200,대구광역시 수성구 지산동,존재
2726011300,대구광역시 수성구 범물동,존재
2726011400,대구광역시 수성구 시지동,존재
2726011500,대구광역시 수성구 매호동,존재
2726011600,대구광역시 수성구 성동,존재
2726011700,대구광역시 수성구 사월동,존재
2726011800,대구광역시 수성구 신매동,존재
2726011900,대구광역시 수성구 욱수동,존재
2726012000,대구광역시 수성구 노변동,존재
2726012200,대구광역시 수성구 삼덕동,존재
2726012300,대구광역시 수성구 연호동,존재
2726012400,대구광역시 수성구 이천동,존재
2726012500,대구광역시 수성구 고모동,존재
2726012600,대구광역시 수성구 가천동,존재
2726012700,대구광역시 수성구 대흥동,존재
2729000000,대구광역시 달서구,존재
2729010100,대구광역시 달서구 성당동,존재
2729010200,대구광역시 달서구 두류동,존재
2729010400,대구광역시 달서구 파호동,존재
2729010500,대구광역시 달서구 호림동,존재
2729010600,대구광역시 달서구 갈산동,존재
2729010700,대구광역시 달서구 신당동,존재
2729010800,대구광역시 달서구 이곡동,존재
2729010900,대구광역시 달서구 장동,존재
2729011000,대구광역시 달서구 장기동,존재
2729011100,대구광역시 달서구 용산동,존재
2729011200,대구광역시 달서구 죽전동,존재
2729011300,대구광역시 달서구 감삼동,존재
2729011400,대구광역시 달서구 본리동,존재
2729011500,대구광역시 달서구 상인동,존재
2729011600,대구광역시 달서구 도원동,존재
2729011700,대구광역시 달서구 진천동,존재
2729011800,대구광역시 달서구 유천동,존재
2729011900,대구광역시 달서구 대천동,존재
2729012000,대구광역시 달서구 월성동,존재
2729012100,대구광역시 달서구 월암동,존재
2729012200,대구광역시 달서구 송현동,존재
2729012300,대구광역시 달서구 대곡동,존재
2729012400,대구광역시 달서구 본동,존재
2729012500,대구광역시 달서구 호산동,존재
2771000000,대구광역시 달성군,존재
2771025000,대구광역시 달성군 화원읍,존재
2771025021,대구광역시 달성군 화원읍 천내리,존재
2771025022,대구광역시 달성군 화원읍 구라리,존재
2771025023,대구광역시 달성군 화원읍 성산리,존재
2771025024,대구광역시 달성군 화원읍 설화리,존재
2771025025,대구광역시 달성군 화원읍 명곡리,존재
2771025026,대구광역시 달성군 화원읍 본리리,존재
2771025300,대구광역시 달성군 논공읍,존재
2771025321,대구광역시 달성군 논공읍 노이리,존재
2771025322,대구광역시 달성군 논공읍 금포리,존재
2771025323,대구광역시 달성군 논공읍 삼리리,존재
2771025324,대구광역시 달성군 논공읍 위천리,존재
2771025325,대구광역시 달성군 논공읍 상리,존재
2771025326,대구광역시 달성군 논공읍 하리,존재
2771025327,대구광역시 달성군 논공읍 남리,존재
2771025328,대구광역시 달성군 논공읍 북리,존재
2771025329,대구광역시 달성군 논공읍 본리리,존재
2771025600,대구광역시 달성군 다사읍,존재
2771025621,대구광역시 달성군 다사읍 이천리,존재
2771025622,대구광역시 달성군 다사읍 달천리,존재
2771025623,대구광역시 달성군 다사읍 박곡리,존재
2771025624,대구광역시 달성군 다사읍 방천리,존재
2771025625,대구광역시 달성군 다사읍 서재리,존재
2771025626,대구광역시 달성군 다사읍 세천리,존재
2771025627,대구광역시 달성군 다사읍 죽곡리,존재
2771025628,대구광역시 달성군 다사읍 매곡리,존재
2771025629,대구광역시 달성군 다사읍 부곡리,존재
2771025630,대구광역시 달성군 다사읍 문양리,존재
2771025631,대구광역시 달성군 다사읍 문산리,존재
2771025900,대구광역시 달성군 유가읍,존재
2771025921,대구광역시 달성군 유가읍 음리,존재
2771025922,대구광역시 달성군 유가읍 양리,존재
2771025923,대구광역시 달성군 유가읍 용리,존재
2771025924,대구광역시 달성군 유가읍 봉리,존재
2771025925,대구광역시 달성군 유가읍 쌍계리,존재
2771025926,대구광역시 달성군 유가읍 초곡리,존재
2771025927,대구광역시 달성군 유가읍 상리,존재
2771025928,대구광역시 달성군 유가읍 금리,존재
2771025929,대구광역시 달성군 유가읍 유곡리,존재
2771025930,대구광역시 달성군 유가읍 도의리,존재
2771025931,대구광역시 달성군 유가읍 가태리,존재
2771025932,대구광역시 달성군 유가읍 한정리,존재
2771025933,대구광역시 달성군 유가읍 본말리,존재
2771026200,대구광역시 달성군 옥포읍,존재
2771026221,대구광역시 달성군 옥포읍 신당리,존재
2771026222,대구광역시 달성군 옥포읍 교항리,존재
2771026223,대구광역시 달성군 옥포읍 강림리,존재
2771026224,대구광역시 달성군 옥포읍 송촌리,존재
2771026225,대구광역시 달성군 옥포읍 간경리,존재
2771026226,대구광역시 달성군 옥포읍 기세리,존재
2771026227,대구광역시 달성군 옥포읍 반송리,존재
2771026228,대구광역시 달성군 옥포읍 김흥리,존재
2771026229,대구광역시 달성군 옥포읍 본리리,존재
2771026500,대구광역시 달성군 현풍읍,존재
2771026521,대구광역시 달성군 현풍읍 상리,존재
2771026522,대구광역시 달성군 현풍읍 중리,존재
2771026523,대구광역시 달성군 현풍읍 부리,존재
2771026524,대구광역시 달성군 현풍읍 하리,존재
2771026525,대구광역시 달성군 현풍읍 성하리,존재
2771026526,대구광역시 달성군 현풍읍 원교리,존재
2771026527,대구광역시 달성군 현풍읍 자모리,존재
2771026528,대구광역시 달성군 현풍읍 오산리,존재
2771026529,대구광역시 달성군 현풍읍 지리,존재
2771026530,대구광역시 달성군 현풍읍 대리,존재
2771026531,대구광역시 달성군 현풍읍 신기리,존재
2771031000,대구광역시 달성군 가창면,존재
2771031021,대구광역시 달성군 가창면 용계리,존재
2771031022,대구광역시 달성군 가창면 오리,존재
2771031023,대구광역시 달성군 가창면 정대리,존재
2771031024,대구광역시 달성군 가창면 냉천리,존재
2771031025,대구광역시 달성군 가창면 행정리,존재
2771031026,대구광역시 달성군 가창면 상원리,존재
2771031027,대구광역시 달성군 가창면 단산리,존재
2771031028,대구광역시 달성군 가창면 대일리,존재
2771031029,대구광역시 달성군 가창면 주리,존재
2771031030,대구광역시 달성군 가창면 옥분리,존재
2771031031,대구광역시 달성군 가창면 삼산리,존재
2771031032,대구광역시 달성군 가창면 우록리,존재
2771033000,대구광역시 달성군 하빈면,존재
2771033021,대구광역시 달성군 하빈면 하산리,존재
2771033022,대구광역시 달성군 하빈면 묘리,존재
2771033023,대구광역시 달성군 하빈면 기곡리,존재
2771033024,대구광역시 달성군 하빈면 대평리,존재
2771033025,대구광역시 달성군 하빈면 무등리,존재
2771033026,대구광역시 달성군 하빈면 현내리,존재
2771033027,대구광역시 달성군 하빈면 감문리,존재
2771033028,대구광역시 달성군 하빈면 동곡리,존재
2771033029,대구광역시 달성군 하빈면 봉촌리,존재
2771038000,대구광역시 달성군 구지면,존재
2771038021,대구광역시 달성군 구지면 창리,존재
2771038022,대구광역시 달성군 구지면 응암리,존재
2771038023,대구광역시 달성군 구지면 고봉리,존재
2771038024,대구광역시 달성군 구지면 가천리,존재
2771038025,대구광역시 달성군 구지면 평촌리,존재
2771038026,대구광역시 달성군 구지면 예현리,존재
