sido,kaptCode,kaptName,addr_jibun,bjdCode,office
대구광역시,A10025874,이안 동대구,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70101001,신암청아람,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70176002,신암강남아파트,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70176802,청기와아파트,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70181003,신암보성2차아파트,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70181203,신암에스디아이프라임,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70181404,신암건영캐스빌,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70181602,신암진로이스트타운,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70181701,신암그린타운,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70182001,신암뜨란채,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A70182104,신암보성아파트,대구광역시 동구 신암동,2714010100,동대구지사
대구광역시,A10020836,더센트럴화성파크드림,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10022489,동대구동화아이위시,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10022662,더샵디어엘로,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10023648,동대구역센트럴시티자이,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10023787,동대구역더샵센터시티,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10023845,동대구역 우방아이유셀,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10024003,동대구벤처 창업지원주택,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10024046,동대구 비스타동원,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10026010,동대구 반도유보라,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10027974,신천역 까사밀라,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102001,신천두산위브,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102002,화성파크드림이스트밸리,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102003,신천휴먼시아6단지,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102004,신천자이,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102101,신천송라아파트,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102103,신천역더뷰파크,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102104,동신우방아파트,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102106,우방푸른타운,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102107,신천LH,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102108,신천가람타운,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70102303,"현대하이페리온 1, 2단지",대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70172601,신천청아람,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70176901,신천2주공아파트,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70176902,신천역센트럴리버파크,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70182301,동대구삼환나우빌,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A70182402,벽산e-솔렌스힐,대구광역시 동구 신천동,2714010200,동대구지사
대구광역시,A10022465,동대구푸르지오 브리센트,대구광역시 동구 효목동,2714010300,동대구지사
대구광역시,A10023299,동대구2차비스타동원,대구광역시 동구 효목동,2714010300,동대구지사
대구광역시,A70103001,진로이스트타운,대구광역시 동구 효목동,2714010300,동대구지사
대구광역시,A70170301,태왕메트로시티,대구광역시 동구 효목동,2714010300,동대구지사
대구광역시,A70184001,동촌강나루타운,대구광역시 동구 효목동,2714010300,동대구지사
대구광역시,A10026133,협성휴포레이시아폴리스,대구광역시 동구 봉무동,2714010500,동대구지사
대구광역시,A70117001,봉무청구새들마을,대구광역시 동구 봉무동,2714010500,동대구지사
대구광역시,A70172001,이시아폴리스더샵1차,대구광역시 동구 봉무동,2714010500,동대구지사
대구광역시,A70172002,이시아폴리스더샵2차,대구광역시 동구 봉무동,2714010500,동대구지사
대구광역시,A70172003,이시아폴리스더샵3차,대구광역시 동구 봉무동,2714010500,동대구지사
대구광역시,A70172004,이시아폴리스더샵4차,대구광역시 동구 봉무동,2714010500,동대구지사
대구광역시,A10022551,테스트단지2,대구광역시 동구 불로동,2714010600,동대구지사
대구광역시,A10027112,불로 서한 이다음아파트,대구광역시 동구 불로동,2714010600,동대구지사
대구광역시,A70180702,제림빌리지,대구광역시 동구 불로동,2714010600,동대구지사
